,date,y_fut,predicted,total
2020-05-01,2020-05-01,,14401.404444969265,10118.0
2020-05-02,2020-05-02,,14378.318886811025,10551.0
2020-05-03,2020-05-03,,14347.737420121686,10843.0
2020-05-04,2020-05-04,,14315.272407666733,11192.0
2020-05-05,2020-05-05,,14286.080428615047,11587.0
2020-05-06,2020-05-06,,14264.882700191341,12071.0
2020-05-07,2020-05-07,,14255.984996700005,12438.0
2020-05-08,2020-05-08,,14263.297071331728,12776.0
2020-05-09,2020-05-09,,14290.351586164308,13112.0
2020-05-10,2020-05-10,,14340.322555769011,13645.0
2020-05-11,2020-05-11,,14416.043309833884,14032.0
2020-05-12,2020-05-12,,14520.023980215381,14265.0
2020-05-13,2020-05-13,,14654.468517829726,14749.0
2020-05-14,2020-05-14,,14821.29124479535,15438.0
2020-05-15,2020-05-15,,15022.132947237824,16006.0
2020-05-16,2020-05-16,,15258.376514168667,16496.0
2020-05-17,2020-05-17,,15531.162127849395,17025.0
2020-05-18,2020-05-18,,15841.402011052205,17514.0
2020-05-19,2020-05-19,,16189.7947366287,18010.0
2020-05-20,2020-05-20,,16576.839104798004,18496.0
2020-05-21,2020-05-21,,17002.847593565675,19189.0
2020-05-22,2020-05-22,,17467.959387684816,20162.0
2020-05-23,2020-05-23,,17972.15299157069,20796.0
2020-05-24,2020-05-24,,18515.258431580358,21745.0
2020-05-25,2020-05-25,,19096.969053068606,22271.0
2020-05-26,2020-05-26,,19716.852917631564,22750.0
2020-05-27,2020-05-27,,20374.36380594952,23165.0
2020-05-28,2020-05-28,,21068.851831640084,23851.0
2020-05-29,2020-05-29,,21799.573671533362,24538.0
2020-05-30,2020-05-30,,22565.702417780274,25216.0
2020-05-31,2020-05-31,,23366.3370572056,25773.0
2020-06-01,2020-06-01,,24200.511583317013,26473.0
2020-06-02,2020-06-02,,25067.203746381456,26940.0
2020-06-03,2020-06-03,,25965.34344698047,27549.0
2020-06-04,2020-06-04,,26893.8207784556,28233.0
2020-06-05,2020-06-05,,27851.493723655323,28818.0
2020-06-06,2020-06-06,,28837.19551139504,29521.0
2020-06-07,2020-06-07,,29849.741638041334,30514.0
2020-06-08,2020-06-08,,30887.936559631926,31186.0
2020-06-09,2020-06-09,,31950.58005994289,32033.0
2020-06-10,2020-06-10,,33036.473299914054,33076.0
2020-06-11,2020-06-11,,34144.424553844656,34316.0
2020-06-12,2020-06-12,,35273.254637769845,35295.0
2020-06-13,2020-06-13,,36421.80203543033,36406.0
2020-06-14,2020-06-14,,37588.927727245566,37420.0
2020-06-15,2020-06-15,,38773.51972770254,38277.0
2020-06-16,2020-06-16,,39974.49733657157,39294.0
2020-06-17,2020-06-17,,41190.81510935986,40400.0
2020-06-18,2020-06-18,,42421.46655241508,41431.0
2020-06-19,2020-06-19,,43665.48754808956,42762.0
2020-06-20,2020-06-20,,44921.95951537692,43803.0
2020-06-21,2020-06-21,,46190.012311432656,45029.0
2020-06-22,2020-06-22,,47468.82687938912,45891.0
2020-06-23,2020-06-23,,48757.637647878204,46845.0
2020-06-24,2020-06-24,,50055.73468767063,47896.0
2020-06-25,2020-06-25,,51362.46563084517,49009.0
2020-06-26,2020-06-26,,52677.23735789885,50187.0
2020-06-27,2020-06-27,,53999.51745820802,51427.0
2020-06-28,2020-06-28,,55328.83546925412,52812.0
2020-06-29,2020-06-29,,56664.78390002379,54010.0
2020-06-30,2020-06-30,,58007.019043994194,55092.0
2020-07-01,2020-07-01,,59355.26158711786,56385.0
2020-07-02,2020-07-02,,60709.29701621493,57770.0
2020-07-03,2020-07-03,,62068.97583318612,59394.0
2020-07-04,2020-07-04,,63434.2135804579,60695.0
2020-07-05,2020-07-05,,64804.99068306992,62142.0
2020-07-06,2020-07-06,,66181.35211281764,63749.0
2020-07-07,2020-07-07,,67563.40687986097,64958.0
2020-07-08,2020-07-08,,68951.32735720923,66226.0
2020-07-09,2020-07-09,,70345.34844349598,68079.0
2020-07-10,2020-07-10,,71745.76656945242,70736.0
2020-07-11,2020-07-11,,73152.93855349376,72347.0
2020-07-12,2020-07-12,,74567.28031182749,74018.0
2020-07-13,2020-07-13,,75989.26542849623,75699.0
2020-07-14,2020-07-14,,77419.4235907654,76981.0
2020-07-15,2020-07-15,,78858.3388952688,78572.0
2020-07-16,2020-07-16,,80306.64803032234,80094.0
2020-07-17,2020-07-17,,81765.03833981702,81668.0
2020-07-18,2020-07-18,,83234.24577410304,83130.0
2020-07-19,2020-07-19,,84715.05273327784,84882.0
2020-07-20,2020-07-20,,86208.28580828471,86521.0
2020-07-21,2020-07-21,,87714.81342524121,88214.0
2020-07-22,2020-07-22,,89235.54339840071,89869.0
2020-07-23,2020-07-23,,90771.42039716261,91751.0
2020-07-24,2020-07-24,,92323.42333254375,93657.0
2020-07-25,2020-07-25,,93892.5626685181,95418.0
